DrawNo,Number1,Number2,Number3,Number4,Number5,Number6,Bonus,1st Prize,2nd Prize,3rd Prize,4th Prize,5th Prize
172,4,19,21,24,26,41,35,11892694803,1081154073,1982115815,104321885,1982116708
173,3,9,24,30,33,34,18,11901894304,1487736788,1983649059,31486493,1983649952
174,13,14,18,22,35,39,16,12397721406,1771103058,2066286924,79472574,2066287150
175,19,26,28,31,33,36,17,11855663100,2371132620,1975943856,41165497,1975943934
176,4,17,30,32,33,34,15,11573315400,2314663080,1928885920,48222148,1928887140
177,1,10,13,16,37,43,6,11852998500,1693285500,1975499760,65849992,1975499820
178,1,5,11,12,18,23,9,11273105400,2254621080,1878850908,42701157,1878852348
179,5,9,17,25,39,43,32,10810939200,1081093920,1801823245,33996665,1801824640
180,2,15,20,21,29,34,22,11526743100,5763371550,1921123855,54889253,1921124652
181,14,21,23,32,40,45,44,11650579800,1941763300,1941763320,80906805,1941764157
182,13,15,27,29,34,40,35,11164318200,3721439400,1860719740,42289085,1860720860
183,2,18,24,34,40,42,5,10663329000,1777221500,1777221500,71088860,1777222302
184,1,2,6,16,20,33,41,10486518300,1747753050,1747753061,56379131,1747753403
185,1,2,4,8,19,38,14,10567457400,3522485800,1761242908,51801262,1761243036
186,4,10,14,19,21,45,9,10690943400,1187882600,1781823938,38735303,1781824870
187,1,2,8,18,29,38,42,10813137300,1544733900,1802189558,94852082,1802189900
188,19,24,27,30,31,34,36,10504215600,3501405200,1750702602,53051594,1750702800
189,8,14,32,35,37,45,28,10385325300,3461775100,1730887554,52451138,1730888565
190,8,14,18,30,31,44,15,10704956700,1784159450,1784159454,54065438,1784160008
191,5,6,24,25,32,37,8,10308458700,2577114675,1718076471,74698977,1718077080
192,4,8,11,18,37,45,33,9781393500,2445348375,1630232262,42900849,1630232442
193,6,14,18,26,36,39,13,10213349100,3404449700,1702224860,85111243,1702225330
194,15,20,23,26,39,44,28,10602271500,2650567875,1767045252,84145012,1767046208
195,7,10,19,22,35,40,31,10108918501,918992591,1684819752,25527572,1684821086
196,35,36,37,41,44,45,30,10918147800,727876520,1819691325,67395975,1819691874
197,7,12,16,34,42,45,4,10818109800,1803018300,1803018336,42929008,1803019198
198,12,19,20,25,41,45,2,10787130300,1797855050,1797855050,71914202,1797855150
199,14,21,22,25,30,36,43,10688504400,5344252200,1781417413,77452931,1781418094
200,5,6,13,14,17,20,7,10756932904,1344616613,1792822166,30910727,1792822330
201,3,11,24,38,39,44,26,9719465400,9719465400,1619910912,43781376,1619911629
202,12,14,27,33,39,44,17,11360350200,1893391700,1893391720,47334793,1893391808
203,1,3,11,24,30,32,7,10822823700,2164564740,1803803990,41948930,1803805136
204,3,12,14,35,40,45,5,10866777000,1358347125,1811129503,78744761,1811130080
205,1,3,21,29,35,37,30,11011330800,1835221800,1835221815,87391515,1835222454
206,1,2,3,15,20,25,43,10164296700,2032859340,1694049480,47056930,1694049909
207,3,11,14,31,32,37,38,10523368800,2104673760,1753894831,47402563,1753895805
208,14,25,31,34,40,44,24,10564604400,1760767400,1760767418,51787277,1760768064
209,2,7,18,20,24,33,37,9965378100,1660896350,1660896362,48849893,1660896468
210,10,19,22,23,25,37,39,10278171900,5139085950,1713028684,37239754,1713029010
211,12,13,17,20,33,41,8,10358002500,1035800250,1726333750,59528750,1726335024
212,11,12,18,21,31,38,8,10642989000,2660747250,1773831528,49273098,1773832492
213,2,3,4,5,20,24,42,11013424200,1376678025,1835570715,55623355,1835571351
214,5,7,20,25,28,37,32,11255847000,1406980875,1875974508,52110403,1875974692
215,2,3,7,15,43,44,4,11113827305,1587689615,1852304576,57884518,1852305312
216,7,16,17,33,36,40,1,11030579404,848506108,1838429901,29181427,1838430080
