region,price,area,purpose
1,2730000000,4,1
1,3650000000,5,1
1,3490000000,4,1
1,2140000000,4,1
1,450000000,1,3
1,1102620000,2,1
1,300000000,1,2
1,7480000000,5,1
1,259000000,1,2
1,2500000000,4,1
1,3170000000,4,1
1,3070000000,4,1
1,1652400000,3,1
1,2595000000,4,1
1,1725000000,3,1
1,850000000,2,1
1,2950000000,4,1
1,1950000000,3,1
1,1780000000,3,1
1,2300000000,4,1
1,340000000,1,1
1,2420000000,4,1
1,3240000000,4,1
1,3015000000,4,1
1,360000000,1,3
1,380000000,1,3
1,1870000000,3,1
1,1410000000,3,1
1,240000000,1,3
1,395000000,1,2
1,1850000000,3,1
1,180000000,1,3
1,3250000000,4,1
1,3015000000,4,1
1,4670000000,5,1
1,110000000,1,3
1,350000000,1,3
1,775000000,2,3
1,300000000,1,2
1,3100000000,4,1
1,1580000000,3,1
1,3240000000,4,1
1,3240000000,4,1
1,480000000,1,3
1,3670000000,5,1
1,1970000000,3,1
1,2020000000,4,1
1,3600000000,5,1
1,2990000000,4,1
1,2350000000,4,1
1,485000000,1,3
1,1050000000,2,1
1,1050000000,2,1
1,390000000,1,1
1,2060000000,4,1
1,2450000000,4,1
1,2730000000,4,1
1,1630000000,3,1
1,2797000000,4,1
1,300000000,1,3
1,3200000000,4,1
1,1050000000,2,1
1,2780000000,4,1
1,2100000000,4,1
1,2200000000,4,1
1,3500000000,4,1
1,5800000000,5,1
1,1860000000,3,1
1,1860000000,3,1
1,2600000000,4,1
1,770000000,2,3
1,1750000000,3,1
1,2500000000,4,1
1,267500000,1,2
1,230000000,1,2
1,2600000000,4,1
1,253000000,1,2
1,170000000,1,2
1,425000000,1,2
1,3750000000,5,1
1,1716660000,3,1
1,2300000000,4,1
1,7600000000,5,1
1,2190000000,4,1
1,7405000000,5,1
1,6500000000,5,1
1,2280000000,4,1
1,3480000000,4,1
1,6800000000,5,1
1,2150000000,4,1
1,13000000000,5,4
1,4130000000,5,1
1,210000000,1,2
1,3850000000,5,1
1,1890000000,3,1
1,655000000,2,1
1,2750000000,4,1
1,565000000,2,3
1,650000000,2,3
1,2495000000,4,1
1,968000000,2,1
1,1890000000,3,1
1,917000000,2,3
1,1690000000,3,1
1,2690000000,4,1
1,2130000000,4,1
1,540000000,2,3
