market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate,RSI,prev_close,change,gain,loss
KRW-BTC,2022-03-08,2022-03-08T09:00:00,47364000.0,48800000.0,47290000.0,48213000.0,1646783999316,229182242873.09155,4764.73953357,47415000.0,798000.0,0.0168301171,54.95386477083648,47745000.0,-330000.0,0.0,330000.0
KRW-BTC,2022-03-09,2022-03-09T09:00:00,48213000.0,52300000.0,48153000.0,51570000.0,1646870399592,479357538041.31586,9356.85430436,48213000.0,3357000.0,0.0696285234,54.43464068954965,47415000.0,798000.0,798000.0,0.0
KRW-BTC,2022-03-10,2022-03-10T09:00:00,51571000.0,51844000.0,48291000.0,48917000.0,1646956799332,494328772058.5832,10019.04392316,51570000.0,-2653000.0,-0.0514446384,63.677211455543954,48213000.0,3357000.0,3357000.0,0.0
KRW-BTC,2022-03-11,2022-03-11T09:00:00,48931000.0,49941000.0,47802000.0,48315000.0,1647043199346,345465440083.8288,7089.91274091,48917000.0,-602000.0,-0.0123065601,54.27001974079479,51570000.0,-2653000.0,0.0,2653000.0
KRW-BTC,2022-03-12,2022-03-12T09:00:00,48314000.0,49098000.0,48202000.0,48500000.0,1647129598942,131418547496.89621,2697.3021978,48315000.0,185000.0,0.0038290386,51.05217391304348,48917000.0,-602000.0,0.0,602000.0
KRW-BTC,2022-03-13,2022-03-13T09:00:00,48500000.0,48904000.0,47310000.0,47510000.0,1647215999360,198434298602.69345,4109.28591186,48500000.0,-990000.0,-0.0204123711,51.49160298752321,48315000.0,185000.0,185000.0,0.0
KRW-BTC,2022-03-14,2022-03-14T09:00:00,47500000.0,49515000.0,47186000.0,49171000.0,1647302399397,306727422441.91864,6352.92355068,47510000.0,1661000.0,0.0349610608,52.537221390185884,48500000.0,-990000.0,0.0,990000.0
KRW-BTC,2022-03-15,2022-03-15T09:00:00,49212000.0,49383000.0,47781000.0,48640000.0,1647388799552,271852039162.99026,5609.76874722,49171000.0,-531000.0,-0.0107990482,41.40518788406113,47510000.0,1661000.0,1661000.0,0.0
KRW-BTC,2022-03-16,2022-03-16T09:00:00,48609000.0,51307000.0,48402000.0,50389000.0,1647475199506,628482964168.743,12621.47055692,48640000.0,1749000.0,0.0359580592,35.25369373496736,49171000.0,-531000.0,0.0,531000.0
KRW-BTC,2022-03-17,2022-03-17T09:00:00,50392000.0,51099000.0,49647000.0,50069000.0,1647561598715,323349085571.79724,6441.90030738,50389000.0,-320000.0,-0.0063505924,42.0926517571885,48640000.0,1749000.0,1749000.0,0.0
